feature,correlation,mi_score,f_score,p_value,abs_coefficient,importance,corr_norm,mi_norm,f_norm,lr_norm,rf_norm,composite_score
Administrative,0.14796596423075659,0.014819625493833533,220.7510102494155,2.1182961837003985e-49,0.023731604748393254,0.015676975654048932,0.29574788707539335,0.07891518794309668,0.07352182952616682,0.013983384054767935,0.06140600547122187,0.10471485881412934
bounce_exit_ratio,0.12390313562393478,0.018905745897694448,153.76184582693116,4.761452007654069e-35,0.04338100730541238,0.021328445508809142,0.2451202535277953,0.1035370099143287,0.051156158558844735,0.02566209593246541,0.0874469235434578,0.1025844882953784
Administrative_Duration,0.0987374278419205,0.014622863080388404,97.09198103287868,8.43244003043885e-23,0.040014125664597916,0.019596371702832963,0.19217218776330106,0.07772955251495357,0.03223579194921143,0.02366097449911499,0.07946585078970331,0.08105287150325688
product_focus,0.047112644354380465,0.028575050167807925,21.93840211193878,2.853056802807236e-06,0.061543175353474984,0.025592098150257026,0.08355484010699515,0.16180154076355507,0.007144268078848775,0.03645686320806771,0.10709303897498523,0.07921011022649038
admin_focus,0.04895984452128296,0.019410965772594047,23.696671089134625,1.1452686584398853e-06,0.0803981521151368,0.022923366940185867,0.08744130643508463,0.10658132397916932,0.007731301306610803,0.04766340449710398,0.09479602375871442,0.06884267199533664
avg_time_per_page,0.041313419509917286,0.025983076840223385,16.86122682373289,4.05392067272003e-05,0.00020459720861060854,0.02578948345977974,0.07135340547589064,0.14618303236970875,0.0054491516683309255,0.0,0.10800255363330274,0.06619762862944661
Informational,0.10046783025722417,0.009061604774197374,100.5599372250318,1.489255826695872e-23,0.0211943771485409,0.005631005362688746,0.19581291432971296,0.044218960947047414,0.03339363841276204,0.012475371278255674,0.01511604975411282,0.06020338694437817
SpecialDay,0.08070918786118918,0.0023907756853462914,64.66200835428498,9.91299840941366e-16,0.17254169002952904,0.0023504797194893686,0.1542411887869852,0.004022405292198922,0.021408397628627476,0.10242933580576206,0.0,0.05642026550271473
Informational_Duration,0.07451009641535118,0.00596512072456834,55.057065873137226,1.2674564028770347e-13,0.009298828635957237,0.010175950166140603,0.1411984440965725,0.02556041164568895,0.01820159567721663,0.0054051978568245545,0.036058306956428914,0.045284791246546316
TrafficType,0.007399830306400658,0.015043748919009836,0.5400479238815384,0.46243033970420766,0.040749908796886745,0.012188330017605333,0.0,0.08026569319719039,0.0,0.024098290553968855,0.04533097764015759,0.029938992278263365
Weekend,0.030880920830093427,0.007796489568634213,9.413688785710029,0.0021595572183802586,0.07164899473618111,0.00316821705121521,0.049403670106949606,0.03659572954763929,0.0029626422945981303,0.04246330297213654,0.003767980969082774,0.02703866517808126
OperatingSystems,0.017391104892318238,0.007361520571363744,2.983669533131827,0.0841396925365184,0.08340174296981168,0.006546684709712049,0.02102141010412469,0.03397472767905036,0.0008158518971283984,0.04944860239757167,0.019335329245834372,0.0249191842647419
Browser,0.02584050554102532,0.005248415760754632,6.589570353073705,0.010272406809624364,0.05304308188589479,0.0066870541187207784,0.03879875318914777,0.021241747416351653,0.002019753930761587,0.031404793952867556,0.019982125278333,0.02268943475349231
info_focus,0.014766044116380434,0.004699910634524018,2.1507405513414666,0.1425330262155527,0.016895873428163777,0.010262909088326133,0.015498343087528179,0.017936608498859776,0.0005377619148682652,0.009920536020042576,0.03645899743633583,0.016070449391526926
Region,0.010360340910570337,0.0017232364449011328,1.0586678121012334,0.30354445668204766,0.028051000365529575,0.010229457140509074,0.0062288456785661766,0.0,0.00017315161156328528,0.01655063650694514,0.03630485710561691,0.011851498180538302
